"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"1",100,24,2,2,4,2,2,"1,2,3,4,7,8,9",2,1,2,2,2,3,2,2,2,2,2,1,3,2,2,2,3,2,1,1,2,2,3,1,3,1,1,4,4,4,2,5,1,7,4,5,1,1,1,2,4,5,1,2,3,5,4,1,7,4,5,5,5,5,5,2,2,2,42,17,22,36,40,117
"2",100,23,1,5,3,2,6,"1,6,8,9",6,1,3,1,1,3,3,2,1,2,2,2,3,3,1,2,3,1,2,3,1,1,4,1,1,4,5,1,2,1,1,7,4,6,1,1,3,1,5,3,1,5,2,2,6,4,3,5,6,4,5,5,5,5,5,5,5,5,27,21,46,35,40,129
"4",100,23,1,1,5,2,6,"4,5,7,8,9",5,1,2,1,1,4,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,5,1,3,6,1,5,1,5,4,1,1,1,1,1,1,6,1,5,2,6,2,3,6,6,5,6,5,6,6,4,5,4,29,21,29,41,29,120
"5",100,25,2,1,5,2,2,"1,4,5,7,9",2,1,1,1,1,4,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,2,1,3,3,1,5,1,6,4,1,1,2,1,4,1,1,1,1,5,5,1,2,5,6,1,4,5,5,5,1,1,1,31,14,20,27,27,92
"6",100,22,2,1,4,2,3,"1,2,4,5,6,7,9",5,1,2,1,1,3,1,1,2,1,3,1,1,2,3,1,2,1,3,1,1,1,4,1,3,1,4,4,3,4,1,6,4,7,2,2,1,2,1,4,2,5,2,3,2,5,3,2,6,7,1,5,3,5,5,5,4,5,36,18,36,34,32,124
"7",100,24,2,1,5,2,4,"1,2,3,4,5,6,7,8,9",6,1,1,1,1,3,1,2,1,1,1,1,1,3,2,1,1,1,1,2,1,1,3,1,2,2,5,1,4,5,3,6,2,6,5,1,1,3,2,4,2,2,1,2,5,6,3,1,7,4,2,5,3,5,5,3,5,5,37,22,33,30,27,122
"8",100,25,1,2,5,2,2,"1,3,5,7,9",4,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,5,1,1,3,3,5,5,4,3,5,2,6,4,2,1,2,2,1,1,2,2,2,2,3,1,3,4,4,3,4,3,5,5,6,6,6,39,15,36,27,26,117
"9",100,24,2,1,4,2,4,"1,2,3,4,7,8,9",4,1,1,1,1,4,2,1,1,3,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,3,5,3,5,5,3,5,1,3,6,2,2,3,2,5,1,2,2,2,4,6,2,1,7,3,3,3,4,3,2,2,2,2,41,17,27,23,31,108
"10",100,25,1,1,4,2,6,"1,4,5,6,7,9",5,1,2,3,3,3,3,3,4,4,2,2,1,2,2,2,1,2,1,3,2,2,5,2,3,3,1,2,4,2,1,5,1,7,2,1,1,1,1,1,1,2,1,5,3,6,3,5,6,5,5,5,3,5,4,5,3,5,31,22,30,32,47,115
"11",100,22,2,3,5,2,2,"3,5,7,9",3,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,3,2,1,1,1,4,4,2,1,1,1,5,3,1,1,1,1,1,1,3,1,1,2,2,1,1,6,1,3,1,1,1,1,5,3,1,24,11,18,16,29,69
