"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"1",100,25,2,1,4,5,6,"1,2,4,5,8,9",6,2,1,2,2,2,1,1,2,2,2,2,2,3,2,3,1,2,3,2,1,1,5,2,2,2,2,2,6,4,2,7,6,6,4,2,4,2,2,4,2,5,2,2,6,6,4,2,7,5,4,7,5,2,6,6,6,6,42,26,43,36,37,147
"2",100,54,2,1,2,3,8,"4,5,8,9",4,2,1,3,2,3,2,2,1,3,2,1,3,2,1,2,1,2,1,3,1,2,2,1,1,3,3,3,3,5,2,5,2,6,5,2,1,2,1,1,1,3,1,5,5,5,2,1,6,2,5,5,2,4,5,2,2,4,30,20,28,30,38,108
"3",100,31,2,1,5,2,1,"2,4,5,8,9",6,2,3,3,3,4,1,2,3,2,1,2,4,3,3,3,2,2,2,3,2,2,3,2,2,3,3,4,2,4,5,4,2,4,4,4,2,2,1,3,1,4,2,2,6,6,5,3,4,4,5,5,4,5,4,3,2,1,41,23,25,31,50,120
"4",100,28,1,3,3,1,1,"9",3,2,2,3,3,4,2,3,2,3,2,3,2,2,3,2,2,2,3,4,2,2,4,4,4,6,6,3,3,5,5,5,2,3,5,5,5,5,5,5,4,4,3,3,2,3,3,4,5,5,5,5,5,5,4,4,6,6,57,21,45,33,51,156
"5",100,24,2,1,5,1,1,"1,2,3,4,5,6,8,9",5,2,1,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,3,3,1,1,5,1,3,5,3,4,6,5,4,6,5,5,4,5,5,4,4,4,4,3,3,5,5,6,3,5,6,5,4,6,5,6,6,4,3,3,58,23,43,36,40,160
"6",100,38,1,1,4,1,1,"2,5,8,9",3,2,2,3,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,3,1,2,6,3,4,4,3,2,6,6,4,2,2,5,5,4,3,4,3,4,3,4,5,5,4,5,4,4,5,4,4,3,3,4,4,4,4,4,55,25,35,28,31,143
"7",100,22,1,1,4,2,1,"1,2,3,4,5,6,7,8,9",4,2,2,2,3,3,1,2,3,4,2,2,3,2,3,3,2,2,4,3,2,2,5,5,6,5,6,6,6,6,6,6,6,2,6,6,3,6,5,6,5,6,4,6,6,5,6,6,5,6,4,5,4,6,6,5,6,6,74,34,48,38,50,194
"8",100,26,2,1,4,1,1,"4,5,7",3,2,3,3,3,3,3,2,4,3,2,2,3,3,3,3,2,2,3,3,2,2,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,54,25,40,28,54,147
"9",100,25,2,1,4,1,1,"1,3,4,5",3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,53,24,40,28,51,145
"10",100,25,2,1,5,2,1,"1,2,3,4,6",3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,4,3,4,4,4,4,4,3,5,4,4,4,4,3,4,5,4,60,26,41,27,48,154
"11",100,28,2,4,4,1,1,"2,4",3,2,3,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,5,52,26,42,29,49,149
"12",100,23,2,1,5,2,1,"1,2,4,5,6",3,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,3,2,3,2,6,6,6,6,6,6,5,5,5,3,6,3,5,5,6,6,5,6,6,6,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,69,31,48,36,49,184
"13",100,25,1,1,4,2,1,"1,2,4,5,6,9",2,2,2,3,4,3,3,2,3,3,2,2,2,2,3,3,2,1,3,2,2,3,5,6,7,5,6,7,5,6,5,5,4,3,6,4,5,7,5,6,4,6,5,5,6,5,6,5,6,4,6,5,6,5,5,4,6,5,73,34,47,37,50,191
"14",100,27,1,4,4,1,1,"1,2,3,4,5,6,7,8,9",5,2,2,2,3,3,3,2,3,3,1,2,3,2,3,3,3,2,3,4,3,3,7,5,6,3,3,4,6,6,5,5,6,6,4,3,5,5,4,5,4,3,4,6,6,6,5,6,6,6,2,6,6,6,3,5,4,5,67,32,46,32,53,177
"15",100,25,1,1,4,2,1,"1,2,4,5,6,8,9",2,2,2,2,2,3,2,2,3,4,1,2,3,2,3,3,2,3,2,2,1,2,6,3,5,6,4,6,7,7,5,6,4,4,6,3,4,5,6,6,5,6,6,5,6,5,3,5,6,6,5,6,5,3,5,6,5,5,71,27,51,37,46,186
"16",100,25,1,1,6,2,1,"1,2,3,5,6",3,2,3,2,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,2,3,2,4,5,4,4,5,4,5,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,4,4,4,5,4,4,5,54,26,44,32,50,156
"17",100,19,2,1,4,2,6,"4,8",6,2,2,2,1,2,2,3,1,1,3,4,2,2,4,1,3,3,2,1,2,3,5,1,3,4,5,3,3,4,5,6,3,6,4,4,5,3,4,5,1,1,4,7,3,4,3,5,6,5,2,4,6,5,3,3,4,5,51,22,45,26,44,144
"18",100,20,1,3,4,2,2,"2,3,4",6,2,2,2,2,3,3,3,3,2,2,3,3,2,4,3,3,2,1,2,2,2,3,2,3,5,3,4,5,6,4,6,5,2,4,5,5,6,5,4,4,5,6,5,5,6,4,5,5,6,4,4,5,5,6,4,5,6,58,27,47,35,49,167
"19",100,23,2,1,4,2,1,"1,4,5,6,7,8,9",5,2,1,2,2,3,3,4,3,4,1,3,4,3,4,3,2,3,3,3,2,2,5,6,5,7,6,3,7,7,6,7,7,5,6,5,6,5,5,3,2,6,5,5,7,7,7,5,7,5,5,6,5,5,4,6,3,5,64,35,59,38,55,196
"20",100,22,2,4,4,3,1,"1,2,4,8",6,2,1,2,2,3,3,2,2,3,1,2,2,2,3,1,3,2,2,3,3,2,4,1,2,5,5,3,4,5,4,4,5,5,4,3,4,4,5,6,5,1,4,5,1,5,4,3,7,2,1,3,4,5,3,4,3,4,51,19,45,22,44,137
"21",100,34,2,1,5,1,1,"1,2,4,5,6,8,9",3,2,1,2,3,1,1,2,1,3,1,1,2,2,2,1,1,1,2,1,1,1,5,3,2,4,5,4,3,3,2,3,2,5,2,3,3,3,4,3,3,2,2,3,2,3,4,5,4,3,3,3,4,5,4,3,3,5,42,18,36,24,30,120
"22",100,20,2,3,4,2,2,"1,2,3,4,5,6,8,9",3,2,1,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,3,3,1,6,3,4,4,5,3,3,4,4,3,6,4,5,3,6,4,3,4,3,3,4,4,3,4,5,3,5,3,3,6,5,6,6,6,3,4,51,22,45,32,45,150
"23",100,22,1,1,3,2,2,"2,3,4,5,6,9",6,2,1,2,4,2,1,1,3,2,4,4,2,1,2,2,2,2,2,2,1,1,6,2,4,3,4,3,4,4,3,5,6,3,5,3,6,4,3,4,3,3,3,4,3,4,6,3,5,3,3,7,7,7,7,7,3,4,53,22,44,35,41,154
"24",100,18,1,4,3,2,6,"1,4,6,9",6,2,1,1,1,1,1,2,2,2,3,1,1,1,2,2,1,1,2,2,1,1,6,2,4,3,3,3,3,4,4,4,6,3,6,4,7,5,3,4,3,3,3,4,3,5,5,4,7,3,4,6,6,6,6,7,2,4,56,21,43,35,29,155
"25",100,26,1,2,3,2,1,"2,3",3,2,3,3,2,2,3,2,3,2,3,2,2,2,3,3,2,3,3,2,2,3,3,4,5,4,2,4,4,3,5,3,2,4,2,4,4,3,4,3,5,4,3,3,2,4,5,3,5,3,2,5,3,4,4,2,3,4,47,21,32,27,50,127
